,date,value
58,2020-05-23,13
59,2020-05-24,13
60,2020-05-25,14
61,2020-05-26,13
62,2020-05-27,14
63,2020-05-28,13
64,2020-05-29,10
65,2020-05-30,8
66,2020-05-31,9
67,2020-06-01,10
68,2020-06-02,10
69,2020-06-03,9
70,2020-06-04,8
71,2020-06-05,8
72,2020-06-06,8
73,2020-06-07,7
74,2020-06-08,7
75,2020-06-09,8
76,2020-06-10,7
77,2020-06-11,*
78,2020-06-12,5
79,2020-06-13,7
80,2020-06-14,6
81,2020-06-15,5
82,2020-06-16,*
83,2020-06-17,*
84,2020-06-18,*
85,2020-06-19,*
86,2020-06-20,*
87,2020-06-21,*
88,2020-06-22,*
