,date,value
185,2020-09-08,467
186,2020-09-09,470
187,2020-09-10,473
188,2020-09-11,477
189,2020-09-12,481
190,2020-09-13,489
191,2020-09-14,494
192,2020-09-15,501
193,2020-09-16,512
194,2020-09-17,525
195,2020-09-18,535
196,2020-09-19,549
197,2020-09-20,557
198,2020-09-21,559
199,2020-09-22,566
200,2020-09-23,574
201,2020-09-24,594
202,2020-09-25,609
203,2020-09-26,622
204,2020-09-27,630
205,2020-09-28,634
206,2020-09-29,646
207,2020-09-30,653
208,2020-10-01,669
209,2020-10-02,681
210,2020-10-03,700
211,2020-10-04,715
212,2020-10-05,722
213,2020-10-06,728
214,2020-10-07,747
215,2020-10-08,758
