,date,value,cases
0,2020-03-14,1,0.0
1,2020-03-15,1,0.0
2,2020-03-16,1,5.0
3,2020-03-17,2,13.0
4,2020-03-18,3,19.0
5,2020-03-19,6,47.0
6,2020-03-20,6,69.0
7,2020-03-21,7,122.0
8,2020-03-22,10,153.0
9,2020-03-23,14,167.0
10,2020-03-24,16,190.0
11,2020-03-25,22,217.0
12,2020-03-26,25,266.0
13,2020-03-27,33,322.0
14,2020-03-28,40,373.0
15,2020-03-29,41,416.0
16,2020-03-30,47,499.0
17,2020-03-31,69,584.0
18,2020-04-01,97,719.0
19,2020-04-02,126,894.0
20,2020-04-03,172,1059.0
21,2020-04-04,218,1264.0
22,2020-04-05,220,1417.0
23,2020-04-06,222,1632.0
24,2020-04-07,296,1993.0
25,2020-04-08,366,2305.0
26,2020-04-09,447,2597.0
27,2020-04-10,495,2996.0
28,2020-04-11,542,3338.0
29,2020-04-12,566,3698.0
30,2020-04-13,575,3953.0
31,2020-04-14,615,4221.0
32,2020-04-15,699,4556.0
33,2020-04-16,779,4948.0
34,2020-04-17,837,5265.0
35,2020-04-18,893,5590.0
36,2020-04-19,903,5912.0
37,2020-04-20,915,6067.0
38,2020-04-21,985,6358.0
39,2020-04-22,1062,6748.0
40,2020-04-23,1120,7102.0
41,2020-04-24,1184,7409.0
42,2020-04-25,1231,7820.0
43,2020-04-26,1249,8187.0
44,2020-04-27,1262,8450.0
45,2020-04-28,1332,8672.0
46,2020-04-29,1415,9038.0
47,2020-04-30,1475,9409.0
48,2020-05-01,1515,9697.0
49,2020-05-02,1559,10051.0
50,2020-05-03,1571,10324.0
51,2020-05-04,1576,10521.0
52,2020-05-05,1620,10721.0
53,2020-05-06,1703,11034.0
54,2020-05-07,1762,11353.0
55,2020-05-08,1811,11654.0
56,2020-05-09,1847,11927.0
57,2020-05-10,1857,12097.0
58,2020-05-11,1862,12266.0
59,2020-05-12,1912,12437.0
60,2020-05-13,1973,12709.0
61,2020-05-14,2007,12924.0
62,2020-05-15,2053,13149.0
63,2020-05-16,2094,13305.0
64,2020-05-17,2103,13486.0
65,2020-05-18,2105,13627.0
66,2020-05-19,2134,13763.0
67,2020-05-20,2184,13929.0
68,2020-05-21,2221,14117.0
69,2020-05-22,2245,14260.0
70,2020-05-23,2261,14447.0
71,2020-05-24,2270,14537.0
72,2020-05-25,2273,14594.0
73,2020-05-26,2291,14655.0
74,2020-05-27,2304,14751.0
75,2020-05-28,2316,14856.0
76,2020-05-29,2331,14969.0
77,2020-05-30,2353,15041.0
78,2020-05-31,2362,15101.0
79,2020-06-01,2363,15156.0
80,2020-06-02,2375,15185.0
81,2020-06-03,2386,15240.0
82,2020-06-04,2395,15288.0
83,2020-06-05,2409,15327.0
84,2020-06-06,2415,15382.0
85,2020-06-07,2415,15400.0
86,2020-06-08,2415,15418.0
87,2020-06-09,2422,15471.0
88,2020-06-10,2434,15504.0
89,2020-06-11,2439,15553.0
