,date,value
22,2020-04-17,*
23,2020-04-18,*
24,2020-04-19,*
25,2020-04-20,*
26,2020-04-21,*
27,2020-04-22,*
28,2020-04-23,*
29,2020-04-24,*
30,2020-04-25,*
31,2020-04-26,*
32,2020-04-27,*
33,2020-04-28,*
34,2020-04-29,*
35,2020-04-30,*
36,2020-05-01,*
37,2020-05-02,*
38,2020-05-03,*
39,2020-05-04,*
40,2020-05-05,*
41,2020-05-06,*
42,2020-05-07,*
43,2020-05-08,*
44,2020-05-09,*
45,2020-05-10,*
46,2020-05-11,*
47,2020-05-12,*
48,2020-05-13,*
49,2020-05-14,*
50,2020-05-15,*
51,2020-05-16,*
52,2020-05-17,*
