,date,value
331,2021-02-01,
332,2021-02-02,71.0
333,2021-02-03,101.0
334,2021-02-04,132.0
335,2021-02-05,92.0
336,2021-02-06,97.0
337,2021-02-07,60.0
338,2021-02-08,63.0
339,2021-02-09,93.0
340,2021-02-10,82.0
341,2021-02-11,73.0
342,2021-02-12,85.0
343,2021-02-13,119.0
344,2021-02-14,87.0
345,2021-02-15,53.0
346,2021-02-16,74.0
347,2021-02-17,129.0
348,2021-02-18,93.0
349,2021-02-19,81.0
350,2021-02-20,75.0
351,2021-02-21,64.0
352,2021-02-22,62.0
353,2021-02-23,71.0
354,2021-02-24,100.0
355,2021-02-25,75.0
356,2021-02-26,77.0
357,2021-02-27,46.0
358,2021-02-28,65.0
359,2021-03-01,39.0
360,2021-03-02,74.0
361,2021-03-03,70.0
