,date,value
345,2021-02-15,
346,2021-02-16,74.0
347,2021-02-17,129.0
348,2021-02-18,93.0
349,2021-02-19,81.0
350,2021-02-20,75.0
351,2021-02-21,64.0
352,2021-02-22,62.0
353,2021-02-23,71.0
354,2021-02-24,100.0
355,2021-02-25,75.0
356,2021-02-26,77.0
357,2021-02-27,46.0
358,2021-02-28,65.0
359,2021-03-01,39.0
360,2021-03-02,74.0
361,2021-03-03,70.0
362,2021-03-04,58.0
363,2021-03-05,45.0
364,2021-03-06,49.0
365,2021-03-07,56.0
366,2021-03-08,47.0
367,2021-03-09,52.0
368,2021-03-10,60.0
369,2021-03-11,56.0
370,2021-03-12,39.0
371,2021-03-13,47.0
372,2021-03-14,33.0
373,2021-03-15,23.0
374,2021-03-16,37.0
375,2021-03-17,35.0
