,date,value
94,2020-06-28,29.0
95,2020-06-29,28.0
96,2020-06-30,32.0
97,2020-07-01,30.0
98,2020-07-02,31.0
99,2020-07-03,29.0
100,2020-07-04,27.0
101,2020-07-05,26.0
102,2020-07-06,29.0
103,2020-07-07,26.0
104,2020-07-08,23.0
105,2020-07-09,20.0
106,2020-07-10,24.0
107,2020-07-11,19.0
108,2020-07-12,20.0
109,2020-07-13,20.0
110,2020-07-14,22.0
111,2020-07-15,22.0
112,2020-07-16,20.0
113,2020-07-17,19.0
114,2020-07-18,19.0
115,2020-07-19,19.0
116,2020-07-20,16.0
117,2020-07-21,15.0
118,2020-07-22,14.0
119,2020-07-23,12.0
120,2020-07-24,12.0
121,2020-07-25,11.0
122,2020-07-26,9.0
123,2020-07-27,8.0
124,2020-07-28,11.0
