,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,151,15.0,11.0,,-21.0,-37.0,5.0,20.0,14.0,222.0,-16.0,-74.0,13.0
1,152,14.0,14.0,,-19.0,-24.0,3.0,21.0,31.0,177.0,-16.0,-50.0,9.0
2,153,10.0,7.0,,-21.0,-24.0,4.0,15.0,23.0,157.0,-22.0,-49.0,10.0
3,154,7.0,8.0,,-19.0,-23.0,4.0,14.0,24.0,133.0,-23.0,-47.0,10.0
4,155,3.0,11.0,,-3.0,-21.0,3.0,-2.0,19.0,93.0,-20.0,-46.0,8.0
5,156,0.0,10.0,,-26.0,-20.0,0.0,-19.0,15.0,54.0,-19.0,-12.0,1.0
6,157,14.0,7.0,90.0,,-22.0,,-14.0,14.0,45.0,-22.0,-8.0,1.0
7,158,5.0,5.0,,-12.0,-25.0,4.0,-3.0,17.0,61.0,-26.0,-38.0,9.0
8,159,7.0,6.0,,-14.0,-22.0,3.0,-1.0,19.0,97.0,-31.0,-36.0,9.0
9,160,4.0,3.0,,-24.0,-23.0,4.0,-6.0,16.0,79.0,-33.0,-34.0,9.0
10,161,2.0,7.0,75.0,-8.0,-22.0,4.0,-4.0,20.0,75.0,-33.0,-34.0,9.0
11,162,4.0,8.0,,-7.0,-21.0,3.0,-14.0,16.0,63.0,-26.0,-33.0,8.0
12,163,3.0,11.0,95.0,-22.0,-19.0,0.0,-21.0,13.0,42.0,-16.0,-9.0,2.0
13,164,9.0,3.0,95.0,,-21.0,,-24.0,11.0,44.0,-15.0,-8.0,1.0
14,165,4.0,5.0,,-16.0,-26.0,4.0,-7.0,16.0,63.0,-26.0,-38.0,10.0
15,166,12.0,6.0,,-14.0,-23.0,4.0,-4.0,19.0,90.0,-30.0,-35.0,9.0
16,167,7.0,7.0,,-19.0,-24.0,3.0,-6.0,16.0,84.0,-32.0,-35.0,9.0
17,168,8.0,10.0,,-11.0,-23.0,4.0,-7.0,17.0,58.0,-36.0,-35.0,10.0
18,169,5.0,9.0,,-12.0,-23.0,2.0,-18.0,12.0,16.0,-25.0,-33.0,8.0
19,170,4.0,13.0,86.0,-31.0,-19.0,1.0,-19.0,12.0,34.0,-19.0,-11.0,2.0
20,171,9.0,9.0,67.0,,-22.0,,-15.0,9.0,34.0,-22.0,-11.0,1.0
21,172,6.0,6.0,,-16.0,-24.0,3.0,-6.0,9.0,50.0,-30.0,-38.0,10.0
22,173,10.0,6.0,,-18.0,-23.0,3.0,-4.0,14.0,84.0,-33.0,-36.0,10.0
23,174,7.0,6.0,,-17.0,-24.0,4.0,-7.0,9.0,71.0,-35.0,-35.0,9.0
24,175,6.0,9.0,49.0,-22.0,-22.0,5.0,-4.0,13.0,78.0,-33.0,-34.0,10.0
25,176,1.0,4.0,46.0,-16.0,-23.0,4.0,-13.0,9.0,26.0,-26.0,-36.0,9.0
26,177,3.0,10.0,99.0,-22.0,-19.0,1.0,-19.0,7.0,38.0,-15.0,-13.0,2.0
27,178,13.0,4.0,,,-20.0,,-14.0,7.0,44.0,-17.0,-12.0,1.0
28,179,11.0,6.0,,-23.0,-34.0,3.0,-3.0,12.0,77.0,-25.0,-39.0,9.0
29,180,12.0,4.0,,-20.0,-34.0,4.0,-7.0,9.0,79.0,-37.0,-39.0,9.0
30,181,16.0,9.0,,-27.0,-34.0,3.0,-4.0,12.0,72.0,-33.0,-37.0,9.0
31,182,12.0,10.0,,-24.0,-33.0,4.0,-1.0,15.0,93.0,-34.0,-36.0,10.0
32,183,-2.0,6.0,,-23.0,-32.0,4.0,-14.0,9.0,44.0,-25.0,-36.0,9.0
33,184,-2.0,11.0,103.0,-24.0,-17.0,0.0,-21.0,6.0,3.0,-23.0,-14.0,4.0
34,185,13.0,3.0,73.0,,-19.0,,-15.0,4.0,42.0,-18.0,-13.0,3.0
35,186,11.0,7.0,,-23.0,-36.0,5.0,0.0,13.0,72.0,-26.0,-38.0,10.0
36,187,19.0,8.0,,-24.0,-37.0,5.0,-1.0,12.0,70.0,-34.0,-38.0,11.0
37,188,10.0,7.0,,-27.0,-37.0,6.0,-5.0,13.0,64.0,-35.0,-36.0,10.0
38,189,7.0,8.0,,-20.0,-36.0,6.0,-4.0,12.0,111.0,-34.0,-37.0,9.0
39,190,2.0,7.0,,-22.0,-35.0,4.0,-12.0,11.0,83.0,-23.0,-37.0,8.0
40,191,0.0,8.0,99.0,-28.0,-18.0,1.0,-18.0,9.0,43.0,-15.0,-12.0,3.0
41,192,4.0,1.0,38.0,,-22.0,,-17.0,13.0,39.0,-18.0,-8.0,1.0
42,193,9.0,8.0,,-16.0,-39.0,5.0,-6.0,6.0,39.0,-27.0,-42.0,12.0
43,194,20.0,12.0,,-24.0,-38.0,5.0,1.0,16.0,101.0,-32.0,-40.0,11.0
44,195,18.0,8.0,,-27.0,-37.0,5.0,-2.0,11.0,94.0,-34.0,-37.0,10.0
45,196,14.0,14.0,,-20.0,-36.0,5.0,-1.0,16.0,100.0,-29.0,-36.0,10.0
46,197,6.0,8.0,,-17.0,-36.0,3.0,-15.0,12.0,62.0,-24.0,-37.0,8.0
47,198,2.0,14.0,,-18.0,-21.0,0.0,-25.0,9.0,39.0,-20.0,-12.0,3.0
48,199,16.0,7.0,111.0,,-23.0,,-21.0,10.0,44.0,-17.0,-9.0,1.0
49,200,20.0,12.0,,-22.0,-38.0,4.0,1.0,16.0,103.0,-25.0,-40.0,10.0
50,201,23.0,14.0,,-18.0,-38.0,5.0,2.0,18.0,108.0,-30.0,-39.0,10.0
51,202,25.0,11.0,,-20.0,-40.0,5.0,3.0,18.0,99.0,-32.0,-37.0,9.0
52,203,18.0,12.0,,-18.0,-38.0,5.0,1.0,19.0,109.0,-34.0,-37.0,10.0
53,204,7.0,10.0,,-19.0,-37.0,3.0,-7.0,13.0,127.0,-18.0,-37.0,7.0
54,205,1.0,12.0,,-24.0,-20.0,0.0,-17.0,7.0,126.0,-1.0,-10.0,1.0
55,206,15.0,9.0,,,-19.0,,-8.0,8.0,61.0,-15.0,-2.0,1.0
56,207,21.0,13.0,,-18.0,-38.0,5.0,12.0,19.0,142.0,-20.0,-47.0,9.0
57,208,24.0,12.0,,-22.0,-39.0,6.0,16.0,19.0,146.0,-27.0,-45.0,10.0
58,209,11.0,4.0,,-34.0,-40.0,8.0,10.0,12.0,81.0,-27.0,-44.0,11.0
59,210,17.0,10.0,61.0,-25.0,-38.0,7.0,14.0,19.0,126.0,-24.0,-44.0,10.0
60,211,14.0,8.0,,-15.0,-38.0,4.0,-4.0,5.0,23.0,-21.0,-45.0,10.0
61,212,8.0,9.0,84.0,-18.0,-20.0,1.0,-11.0,8.0,31.0,-9.0,-9.0,2.0
62,213,18.0,7.0,80.0,,-22.0,,-5.0,10.0,78.0,-9.0,-9.0,1.0
63,214,28.0,12.0,,-16.0,-38.0,4.0,19.0,18.0,151.0,-18.0,-48.0,9.0
64,215,27.0,12.0,,-19.0,-37.0,4.0,20.0,19.0,177.0,-25.0,-47.0,9.0
65,216,27.0,12.0,,-24.0,-37.0,5.0,11.0,11.0,115.0,-28.0,-45.0,10.0
66,217,23.0,13.0,,-19.0,-37.0,5.0,14.0,18.0,122.0,-28.0,-45.0,10.0
