,time,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,uk_retail_and_recreation_percent_change_from_baseline,uk_grocery_and_pharmacy_percent_change_from_baseline,uk_parks_percent_change_from_baseline,uk_transit_stations_percent_change_from_baseline,uk_workplaces_percent_change_from_baseline,uk_residential_percent_change_from_baseline
0,183,-55.0,-9.0,,-32.0,-56.0,20.0,,,,,,
1,184,-39.0,-2.0,,-18.0,-54.0,17.0,,,,,,
2,185,-56.0,-9.0,,-39.0,-56.0,20.0,,,,,,
3,186,-47.0,3.0,74.0,-16.0,-23.0,,,,,,,
4,187,-47.0,-13.0,37.0,-16.0,-22.0,,,,,,,
5,188,-33.0,-1.0,,-13.0,-55.0,15.0,,,,,,
6,189,-39.0,-2.0,,-13.0,-55.0,16.0,-39.0,-14.0,18.0,-55.0,-56.0,17.0
7,190,-41.0,-2.0,,-17.0,-54.0,17.0,-39.0,-16.0,34.0,-54.0,-54.0,17.0
8,191,-35.0,0.0,,-8.0,-54.0,17.0,-40.0,-14.0,24.0,-56.0,-56.0,18.0
9,192,-42.0,-3.0,,-11.0,-51.0,15.0,-45.0,-13.0,12.0,-48.0,-54.0,16.0
10,193,-36.0,8.0,,24.0,-17.0,,-49.0,-17.0,5.0,-44.0,-26.0,6.0
11,194,-22.0,-2.0,,28.0,-11.0,,-48.0,-17.0,29.0,-43.0,-23.0,4.0
12,195,-40.0,-1.0,,-17.0,-54.0,15.0,-35.0,-14.0,35.0,-48.0,-56.0,16.0
13,196,-34.0,1.0,,-8.0,-53.0,15.0,-33.0,-15.0,59.0,-50.0,-54.0,15.0
14,197,-28.0,0.0,,-16.0,-51.0,15.0,-32.0,-18.0,21.0,-55.0,-54.0,16.0
15,198,-23.0,3.0,,-5.0,-52.0,15.0,-30.0,-14.0,65.0,-54.0,-53.0,15.0
16,199,-32.0,1.0,,-14.0,-50.0,13.0,-37.0,-15.0,39.0,-50.0,-52.0,13.0
17,200,-22.0,13.0,,13.0,-14.0,,-44.0,-20.0,-19.0,-47.0,-25.0,7.0
18,201,-10.0,4.0,,27.0,-14.0,,-39.0,-20.0,47.0,-41.0,-21.0,3.0
19,202,-18.0,7.0,,-10.0,-53.0,13.0,-24.0,-14.0,68.0,-44.0,-56.0,14.0
20,203,-16.0,6.0,,0.0,-52.0,13.0,-22.0,-14.0,,-49.0,-55.0,14.0
21,204,-39.0,-3.0,,-30.0,-53.0,17.0,-25.0,-16.0,45.0,-51.0,-55.0,15.0
22,205,-30.0,3.0,,-15.0,-52.0,15.0,-25.0,-13.0,39.0,-51.0,-55.0,17.0
23,206,-25.0,4.0,,1.0,-48.0,12.0,-32.0,-17.0,57.0,-46.0,-54.0,13.0
24,207,-28.0,9.0,,4.0,-12.0,,-40.0,-20.0,4.0,-42.0,-27.0,6.0
25,208,-7.0,1.0,,29.0,-6.0,,-36.0,-21.0,41.0,-38.0,-22.0,3.0
26,209,-41.0,-3.0,,-29.0,-53.0,15.0,-25.0,-18.0,21.0,-46.0,-58.0,16.0
27,210,-22.0,5.0,,-6.0,-50.0,14.0,-17.0,-12.0,,-46.0,-55.0,14.0
28,211,-18.0,4.0,,0.0,-49.0,13.0,-18.0,-14.0,87.0,-46.0,-55.0,14.0
29,212,-23.0,3.0,,-29.0,-51.0,15.0,-18.0,-11.0,78.0,-38.0,-56.0,14.0
30,213,-1.0,14.0,,17.0,-48.0,10.0,-31.0,-16.0,58.0,-36.0,-55.0,12.0
31,214,-10.0,11.0,,3.0,-9.0,,-35.0,-18.0,20.0,-26.0,-22.0,4.0
32,215,0.0,2.0,,15.0,-5.0,,-28.0,-16.0,44.0,-23.0,-22.0,4.0
33,216,-4.0,7.0,,-11.0,-51.0,11.0,-8.0,-14.0,99.0,-29.0,-55.0,13.0
34,217,-33.0,-7.0,,-33.0,-53.0,15.0,-9.0,-14.0,,-35.0,-55.0,14.0
35,218,-13.0,1.0,,-21.0,-50.0,14.0,-8.0,-16.0,75.0,-40.0,-54.0,13.0
36,219,0.0,7.0,,-4.0,-49.0,12.0,-15.0,-11.0,100.0,-39.0,-55.0,13.0
37,220,-8.0,5.0,,-8.0,-47.0,10.0,-28.0,-16.0,54.0,-38.0,-54.0,11.0
38,221,-3.0,15.0,,21.0,-6.0,,-34.0,-18.0,33.0,-29.0,-23.0,3.0
39,222,8.0,2.0,,13.0,-9.0,,-28.0,-20.0,38.0,-28.0,-20.0,3.0
40,223,-6.0,4.0,,-16.0,-49.0,11.0,-3.0,-14.0,100.0,-32.0,-55.0,11.0
41,224,-13.0,1.0,,-22.0,-49.0,13.0,-2.0,-12.0,,-38.0,-54.0,12.0
42,225,1.0,8.0,,-8.0,-47.0,12.0,-6.0,-14.0,83.0,-38.0,-54.0,12.0
43,226,-15.0,5.0,,-23.0,-47.0,13.0,-13.0,-13.0,84.0,-39.0,-55.0,13.0
44,227,-10.0,7.0,,-10.0,-44.0,10.0,-21.0,-14.0,57.0,-32.0,-53.0,11.0
45,228,-10.0,9.0,,2.0,-8.0,,-31.0,-21.0,21.0,-26.0,-22.0,4.0
46,229,-4.0,0.0,108.0,0.0,-8.0,,-27.0,-18.0,13.0,-28.0,-22.0,4.0
47,230,,,,,-48.0,12.0,,-15.0,,-31.0,-56.0,12.0
48,231,,,,,-43.0,11.0,,,,-31.0,-52.0,12.0
49,232,,,,,-44.0,11.0,,-18.0,,-33.0,-53.0,13.0
50,233,,,,,-43.0,12.0,-9.0,,,-34.0,-53.0,12.0
51,234,,,,,-40.0,11.0,-21.0,-14.0,,-33.0,-53.0,13.0
52,235,,,,,,,-30.0,-18.0,,-25.0,,5.0
53,236,,,,,,,-23.0,,,,,3.0
54,237,,,,,-42.0,9.0,,,,-23.0,-54.0,10.0
55,238,,,,,-44.0,13.0,,,,-35.0,-55.0,14.0
56,239,,,,,-39.0,11.0,,,,-29.0,-51.0,11.0
57,240,,,,,-39.0,12.0,-5.0,,,-33.0,-53.0,13.0
58,241,,,,,-37.0,10.0,-14.0,-14.0,,-26.0,-54.0,13.0
59,242,,,,,,,-21.0,-14.0,,-16.0,,4.0
60,243,,,,,,,-11.0,,,,,2.0
61,244,,,,,-42.0,9.0,,-16.0,,-24.0,-72.0,12.0
62,245,,,,,-40.0,10.0,,,,-31.0,-53.0,10.0
63,246,,,,,-38.0,12.0,-11.0,,,-37.0,-52.0,12.0
64,247,,,,,-37.0,10.0,-9.0,,,-34.0,-52.0,11.0
65,248,,,,,-36.0,9.0,-21.0,-14.0,,-30.0,-51.0,10.0
66,249,,,,,,,-26.0,-16.0,,-25.0,,3.0
67,250,,,,,,,-24.0,,,,,3.0
68,251,,,,,-39.0,10.0,,,,-31.0,-52.0,11.0
69,252,,,,,-38.0,10.0,,,,-35.0,-50.0,11.0
70,253,,,,,-37.0,10.0,-14.0,,,-37.0,-47.0,10.0
71,254,,,,,-36.0,9.0,-16.0,,,-38.0,-48.0,10.0
72,255,-14.0,0.0,,-13.0,-34.0,8.0,-22.0,-15.0,30.0,-30.0,-46.0,9.0
73,256,-3.0,5.0,,9.0,-3.0,,-25.0,-13.0,21.0,-22.0,-17.0,3.0
74,257,-2.0,-4.0,94.0,3.0,-7.0,,-21.0,-10.0,55.0,-19.0,-17.0,2.0
75,258,1.0,3.0,,-8.0,-35.0,8.0,-11.0,-9.0,104.0,-29.0,-44.0,9.0
76,259,-4.0,-1.0,,-12.0,-35.0,10.0,-10.0,-9.0,98.0,-33.0,-44.0,9.0
77,260,-13.0,-4.0,,-13.0,-33.0,10.0,-14.0,-14.0,56.0,-37.0,-44.0,10.0
78,261,-1.0,-1.0,,-3.0,-34.0,8.0,-13.0,-13.0,81.0,-37.0,-45.0,10.0
79,262,-7.0,-3.0,,-5.0,-45.0,8.0,-22.0,-13.0,38.0,-32.0,-44.0,9.0
80,263,-3.0,4.0,,9.0,-7.0,,-25.0,-14.0,28.0,-24.0,-18.0,4.0
81,264,-5.0,-7.0,104.0,3.0,-5.0,,-22.0,-12.0,34.0,-21.0,-18.0,3.0
82,265,-1.0,0.0,,-12.0,-54.0,10.0,-13.0,-9.0,77.0,-32.0,-46.0,10.0
83,266,-17.0,0.0,,-13.0,-35.0,10.0,-15.0,-10.0,78.0,-37.0,-44.0,10.0
84,267,-12.0,-1.0,,-16.0,-34.0,11.0,-22.0,-17.0,-1.0,-42.0,-44.0,13.0
85,268,-19.0,0.0,,-24.0,-34.0,12.0,-19.0,-11.0,17.0,-40.0,-44.0,12.0
86,269,-16.0,4.0,,-17.0,-32.0,10.0,-23.0,-10.0,2.0,-31.0,-42.0,11.0
87,270,-4.0,11.0,,-9.0,-6.0,6.0,-25.0,-8.0,5.0,-24.0,-16.0,6.0
88,271,11.0,3.0,128.0,13.0,-4.0,,-22.0,-6.0,14.0,-22.0,-15.0,5.0
89,272,-9.0,7.0,,-13.0,-33.0,10.0,-12.0,-5.0,51.0,-31.0,-41.0,11.0
90,273,-10.0,2.0,,-12.0,-31.0,10.0,-12.0,-5.0,67.0,-36.0,-41.0,10.0
91,274,-20.0,-1.0,,-21.0,-34.0,12.0,-20.0,-13.0,-5.0,-42.0,-43.0,13.0
92,275,-22.0,-1.0,,-23.0,-32.0,11.0,-17.0,-6.0,39.0,-39.0,-40.0,11.0
93,276,-12.0,-2.0,,-8.0,-29.0,10.0,-26.0,-5.0,-2.0,-29.0,-39.0,11.0
94,277,-34.0,-9.0,-9.0,-38.0,-10.0,9.0,-31.0,-11.0,-32.0,-27.0,-17.0,8.0
95,278,-8.0,-6.0,67.0,-4.0,-4.0,,-24.0,-5.0,5.0,-22.0,-15.0,5.0
